,mal_id,titles,Tag
0,1550,Attack No.1,"['7.07', 'Drama', 'Sports', 'TeamSports', 'kozue', 'is', 'a', 'middleschool', 'girl', 'and', 'enthusiastic', 'volleyball', 'player.', 'her', 'dream', 'is', 'to', 'play', 'in', 'the', 'japanese', 'national', 'volleyball', 'team.', 'during', 'the', 'series', 'she', 'makes', 'it', 'from', 'the', 'school', 'district', 'league', 'up', 'to', 'the', 'japanese', 'volleyball', 'finals,', 'step', 'by', 'step', 'till', 'the', 'international', 'volleyball', 'championship.', 'but', 'the', 'faster', 'and', 'higher', 'kozue', 'climbs', 'the', 'career', 'ladder', 'up,', 'the', 'more', 'she', 'gets', 'confronted', 'with', 'the', 'dark', 'side', 'of', 'success:', 'too', 'high', 'expectations,', 'self-conceit', 'and', 'envy', 'are', 'progressing', 'towards', 'serious', 'problems.', '(source:', 'ann)']"
1,9895,The Bathroom,"['4.22', 'AvantGarde', 'Comedy', 'a', 'surrealistic', 'short', 'from', 'minimalist', 'cartoonist', 'kuri', 'yoji.']"
2,9163,Attack No.1 (1970),"['6.39', 'Drama', 'Sports', 'TeamSports', 'the', 'first', 'recap', 'film', 'of', 'attack', 'no.1', ',', 'it', 'covers', 'the', 'first', '6', 'episodes', 'of', 'the', 'tv', 'anime.', 'kozue', 'is', 'a', 'high', 'school', 'girl', 'and', 'an', 'enthusiastic', 'volleyball', 'player.', 'her', 'dream', 'is', 'to', 'play', 'on', 'the', 'japanese', 'national', 'volleyball', 'team.', 'over', 'the', 'course', 'of', 'the', 'series', 'she', 'makes', 'it', 'from', 'the', 'school', 'district', 'league', 'up', 'to', 'the', 'japanese', 'volleyball', 'finals,', 'step', 'by', 'step', 'until', 'the', 'international', 'volleyball', 'championship.', 'but', 'the', 'faster', 'and', 'higher', 'kozue', 'climbs,', 'the', 'more', 'she', 'is', 'confronted', 'with', 'the', 'dark', 'side', 'of', 'success:', 'too-high', 'expectations,', 'self-conceit,', 'and', 'envy.', '(source:', 'ann)']"
3,7259,Kenju Giga,"['4.92', 'Parody', 'Psychological', 'a', 'dog', 'race', 'is', 'interrupted', 'by', 'a', 'ringmaster,', 'who', 'attaches', 'fish', 'to', 'the', 'dog’s', 'collars', 'and', 'makes', 'them', 'run', 'in', 'circles.', 'the', 'crowd', 'is', 'incensed,', 'but', 'the', 'ringmaster', 'insists', 'that', 'the', 'audience', 'is', 'no', 'better', 'off', 'than', 'the', 'dogs.', 'in', 'the', 'end', 'the', 'ringmaster', 'is', 'assassinated', 'and', 'the', 'race', 'continues,', 'but', 'a', 'single', 'red', 'rose', 'sprouts', 'from', 'the', 'ringmaster’s', 'blood;', 'a', 'symbol', 'of', 'truth', 'in', 'a', 'crazy', 'world?', '-anidb']"
4,2830,Chibikko Remi to Meiken Kapi,"['5.9', 'Adventure', 'Drama', 'SliceofLife', 'based', 'on', 'sans', 'famille', 'by', 'hector', 'malot.', 'this', 'is', 'a', 'faithful', 'if', 'compressed', 'adaptation,', 'telling', 'the', 'story', 'of', 'remi', 'who', 'is', 'sold', 'off', 'to', 'vitalis', 'the', 'travelling', 'musician', 'and', 'his', 'band', 'of', 'performing', 'animals.', 'it', 'has', 'musical', 'numbers', 'typical', 'this', 'era', 'of', 'toei', 'films,', 'some', 'awkward', 'slapstic,', 'plenty', 'of', 'scenes', 'tailored', 'to', 'pull', 'on', 'the', 'heartstrings,', 'and', 'very', 'smooth', 'animation.', 'overall', 'a', 'pleasant', 'film', ""that's"", 'interesting', 'to', 'watch', 'for', 'the', 'technical', 'aspects;', 'but', 'the', 'story', 'leaves', 'much', 'to', 'be', 'desired,', 'being', 'on', 'the', 'melodramatic-maudlin', 'side.', 'the', 'later', 'dezaki/sugino', 'version', 'is', 'very', 'different,', 'with', '52', 'episodes', 'for', 'the', 'story', 'to', 'breathe', 'in', 'and', 'far', 'more', 'compelling', 'storytelling.', '(source:', 'anidb)']"
5,18061,Tiger Mask (Movie),"['6.27', 'Sports', 'CombatSports', 're-edit', 'of', 'episode', '9&amp;10.']"
6,12789,Yasashii Lion,"['5.5', 'AwardWinning', 'Fantasy', 'Music', 'this', 'is', 'an', 'animated', 'version', 'of', 'yanase', ""takashi's"", 'picture', 'book', 'featuring', 'the', 'friendship', 'between', 'a', 'mother', 'dog,', 'muku-muku,', 'who', 'lost', 'her', 'puppy,', 'and', 'the', 'baby', 'lion', 'buru-buru,', 'who', 'lost', 'her', 'mother.', 'although', 'tezuka', 'osamu', 'planned', 'to', 'create', 'an', 'entire', 'musical', 'animated', 'series', 'for', 'this', 'story', 'focused', 'on', 'the', 'feelings', 'of', 'the', 'mother', 'dog', 'and', 'baby', 'lion,', 'this', 'animated', 'production', 'was', 'the', 'only', 'one', 'never', 'completed.', '(source:', 'official', 'tezuka', 'site)']"
7,13089,Hana to Mogura,"['5.52', 'AwardWinning', 'Comedy', 'hanako-chan,', 'a', 'flower', 'loving', 'person,', 'encounters', 'a', 'mole', 'in', 'her', 'garden', 'and', 'wonders', 'what', 'would', 'happen', 'if', 'the', 'moles', 'could', 'be', 'trained', 'to', 'assist', 'in', 'gardening.', 'then', 'her', 'idea', 'goes', 'with', 'the', 'wind...', '(source:', 'anidb)']"
8,25627,"""Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu","['5.58', 'based', 'on', ""aesop's"", 'fables.']"
9,29673,Shin Tenchi Souzou,"['5.01', 'Comedy', 'independent', 'animation', 'by', 'tsukioka', 'sadao.']"
